NAME,EIN,CITY,STATE
BAY AREA SUMMER OPERA THEATER INSTITUTE,943162696,SAN RAFAEL,CA
BAY SHORE LYRIC OPERA COMPANY,942737425,SARATOGA,CA
BEL CANTANTI OPERA COMPANY,710966118,SILVER SPRING,MD
BEL CANTANTI OPERA OF MARYLAND,371720207,SILVER SPRING,MD
BELLEVUE OPERA,911061627,SEATTLE,WA
BERKS OPERA WORKSHOP,263688025,READING,PA
BERKSHIRE OPERA FESTIVAL,471596750,GREAT BARRINGTON,MA
BETH MORRISON PROJECTS,208422447,BROOKLYN,NY
BLUEGRASS OPERA,263016871,LEXINGTON,KY
BOHEME OPERA COMPANY INC,222613294,TRENTON,NJ
BOHEME OPERA GUILD INC,223393755,ALLENTOWN,NJ
"BOSTON EARLY MUSIC FESTIVAL, INC.",42704827,CAMBRIDGE,MA
BOSTON LYRIC OPERA COMPANY,42469627,BOSTON,MA
BOSTON MIDSUMMER OPERA INC,203943823,BOSTON,MA
BOSTON OPERA COLLABORATIVE,204377736,BOSTON,MA
BOULDER OPERA COMPANY,462223000,BOULDER,CO
BOWEN PARK THEATRE AND OPERA COMPANY,,WAUKEGAN,IL
BRAVA! OPERA THEATER,473126062,MEDFORD,OR
BREVARD MUSIC CENTER INCORPORATED,560729350,BREVARD,NC
BRONX OPERA COMPANY INC,237170675,BRONX,NY
BROOKLYN ACADEMY OF MUSIC INC,112201344,BROOKLYN,NY
BROWN GRAND OPERA HOUSE INC,237368877,CONCORDIA,KS
CALIFORNIA OPERA ASSOCIATION,,FRESNO,CA
CANADIAN OPERA COMPANY INC,510191426,BENTONVILLE,AR
CANDID CONCERT OPERA INCORPORATED,462283415,BERWYN,IL
CANTIAMO OPERA THEATER,,NEW YORK,NY
CANTON COMIC OPERA COMPANY INC,810571607,CANTON,OH
CAPITAL CITY OPERA COMPANY INC,581991030,ATLANTA,GA
CAPITOL OPERA COMPANIES INC,463107063,DANA POINT,CA
CASTLETON FESTIVAL,462048743,MCLEAN,VA
CEDAR RAPIDS OPERA THEATRE,421476568,CEDAR RAPIDS,IA
CEDARVILLE OPERA HOUSE SOCIETY INC,311408989,CEDARVILLE,OH
CELESTIAL OPERA COMPANY,954868027,S PASADENIA,CA
CENTER FOR CONTEMPORARY OPERA,112625093,NEW YORK,NY
CENTER STAGE OPERA,461963085,RESEDA,CA
CENTRAL CITY OPERA HOUSE ASSOCIATION,846002285,GLENDALE,CO
CENTRAL CITY OPERA HOUSE ASSOCIATION ENDOWMENT FUND,841201337,DENVER,CO
CENTRAL FLORIDA LYRIC OPERA,NO EIN,ORLANDO,FL
CENTURY OPERA COMPANY,,NEW YORK,NY
CHAMBER OPERA OF CHICAGO,363247003,CHICAGO,IL
CHARLESTON LIGHT OPERA GUILD INC,550346301,CHARLESTON,WV
CHATTANOOGA SYMPHONY AND OPERA ASSOCIATION,626002098,CHATTANOOGA,TN
CHAUTAUQUA INSTITUTION,160758844,CHAUTAUQUA,NY
CHELSEA OPERA INC,201965815,NEW YORK,NY
CHICAGO OPERA THEATER,237354963,CHICAGO,IL
CIMARRON CIRCUIT OPERA COMPANY,731008734,NORMAN,OK
CINCINNATI CHAMBER OPERA INC,463540951,OKLAHOMA CITY,OK
CINCINNATI OPERA ASSOCIATION,310549044,CINCINNATI,OH
CINNABAR ARTS CORPORATION,237386031,PETALUMA,CA
CITY OPERA HOUSE HERITAGE ASSOCIATION INC,382237064,TRAVERSE CITY,MI
CITYWIDE YOUTH OPERA INC,50616054,NEW YORK,NY
CIVIC LIGHT OPERA ASSOCIATION,911030929,SEATTLE,WA
CLAREMONT OPERA HOUSE INC,237240169,CLAREMONT,NH
CLEVELAND OPERA THEATER,208208151,CLEAVELAND,OH
CLOUDCROFT LIGHT OPERA COMPANY INC,850438831,CLOUDCROFT,NM
COLLEGE LIGHT OPERA COMPANY INC,42505806,FALMOUTH,MA
COMMONWEALTH LYRIC THEATER INC,462027591,NEWTON,MA
COMMONWEALTH OPERA,,NORTHAMPTON,MA
"CONCERTOPERA, PHILADELPHIA INC",232929065,DREXEL HILL,PA
CONCERT OPERETTA THEATER,510670021,PHILADELPHIA,PA
CONNECTICUT LYRIC OPERA INC,141896196,NEW LONDON,CT
COTERIE THEATER CORPORATION,271640976,BROOKLYN,NY
"CREATE OPERA D.B.A. FRACTURED ATLAS, INC.",113451703,NEW YORK,NY
CREATIVE OPERA COMPANY LTD,237170979,NEW YORK,NY
CRESTED BUTTE MUSIC FESTIVAL INC,841374824,CRESTED BUTTE,CO
CROSWELL OPERA HOUSE AND FINE ARTS ASSOCIATION,386144993,ADRIAN,MI
DALLAS OPERA,756004746,DALLAS,TX
DANVILLE LIGHT OPER CO INC,376033458,DANVILLE,IL
DAYTON OPERA ASSOCIATION CHARITABLE TRUST,316622182,CHICAGO,IL
"DC PUBLIC OPERA D.B.A. FRACTURED ATLAS, INC.",113451703,NEW YORK,NY
DELAWARE VALLEY OPERA COMPANY,NO EIN,PHILADELPHIA,PA
"DELL'ARTE OPERA ENSEMBLE, INC.",134140107,NEW YORK,NY
DELPHI OPERA HOUSE,463787023,DELPHI,IN
DENVER LYRIC OPERA GUILD,237225165,DENVER,CO
DES MOINES METRO OPERA FOUNDATION INC,421376458,INDIANOLA,IA
DES MOINES METRO OPERA INC,237319903,INDIANOLA,IA
DEUTSCHMANN FAMILY FOUNDATION,810788792,NEWARK,DE
DIABLO LIGHT OPERA COMPANY,942549968,WALNUT CREEK,CA
DOUGLAS MOORE FUND FOR AMERICAN OPERA INC,61633557,NEW YORK,NY
DOWNEY CIVIC LIGHT OPERA ASSOCIATION,911190564,PORT ANGELES,WA
"DOWNTOWN MUSIC PRODUCTIONS, INC.",133310731,NEW YORK,NY
DUPAGE OPERA THEATRE,,GLEN ELLYN,IL
DURHAM SAVOYARDS LIMITED OF DURHAM NORTH CAROLINA,566068443,DURHAM,NC
EARLVILLE OPERA HOUSE INC,160988051,EARLVILLE,NY
EASTERN OPERA CORP,454333621,WARREN,NJ
EL PASO OPERA FOUNDATION,742901653,EL PASO,TX
EMPIRE LYRIC PLAYERS,846036522,DENVER,CO
EMPIRE OPERA INC,770668548,NEW YORK,NY
ENCOMPASS THEATRE INC,132863585,BROOKLYN,NY
ENRICO CARUSO FOUNDATION,273360891,BROOKLYN,NY
EUGENE OPERA,930679959,EUGENE,OR
EXPERIMENTS IN OPERA,463775780,BROOKLYN,NY
FAIRBANKS LIGHT OPERA THEATRE,237083993,FAIRBANKS,AK
FAIRMONT OPERA HOUSE INC,411408913,FAIRMONT,MN
"FAMILY OPERA, INC.",311792599,CAMBRIDGE,MA
FARGO MOORHEAD OPERA COMPANY,450307449,FARGO,ND
FBN PRODUCTIONS,571018044,CHAPIN,SC
FESTIVAL OPERA ASSOCIATION INC,680248859,WALNUT CREEK,CA
FINGER LAKES OPERA,NO EIN,GENESEO,NY
FIRST LOOK SONOMA,NO EIN,SEBASTOPOL,CA
"FLORENTINE OPERA CO, INC.",391098132,MILWAUKEE,WI
FLORIDA GRAND OPERA INC,650496477,MIAMI,FL
FLORIDA OPERA PRIMA,463016862,MIAMI,FL
FORGOTTEN OPERA COMPANY,201241410,ROCKVILLE,MD
FORT WORTH OPERA ASSOCIATION INC,750945915,FORT WORTH,TX
FORT WORTH OPERA ENDOWMENT,452831814,FORT WORTH,TX
FRESCO OPERA THEATRE COMPANY,271287410,MADISON,WI
FRESH SQUEEZED OPERA COMPANY INC,464491445,NEW YORK,NY
FRESNO GRAND OPERA,770491466,FRESNO,CA
FRIENDS OF LAKE GEORGE OPERA INC,161611144,SARATOGA SPRINGS,NY
FRIENDS OF MADAME WHITE SNAKE INC,262176762,BROOKLINE,MA
FRIENDS OF THE OPERA HOUSE,260629356,ELGIN,OR
FULLERTON CIVIC LIGHT OPERA COMPANY,952751619,FULLERTON,CA
FULTON OPERA HOUSE FOUNDATION,231631733,LANCASTER,PA
FULTON OPERA HOUSE GUILD INC,232097222,LANCASTER,PA
GALLO CENTER FOR THE ARTS INC,562607443,MODESTO,CA
GARDEN STATE PHILHARMONIC SYMPHONY SOCIETY,226062769,TOMS RIVER,NJ
GILBERT AND SULLIVAN SOCIETY OF SAN JOSE LYRIC THEATRE,237382448,SAN JOSE,CA
GILBERT AND SULLIVAN YIDDISH LIGHT OPERA COMPANY INC,113224934,CENTRAL ISLIP,NY
GLIMMERGLASS OPERA THEATRE INC,161053970,COOPERSTOWN,NY
GOAT HALL PRODUCTIONS,943288314,VACAVILLE,CA
GOLDEN GATE OPERA,943221096,SAN RAFAEL,CA
GOTHAM CHAMBER OPERA INC,43754026,NEW YORK,NY
GRAND OPERA HOUSE FOUNDATION,391900890,DUBUQUE,IA
GRAND OPERA HOUSE INC,510116569,WILMINGTON,DE
GRAND OPERA HOUSE OF THE SOUTH INC,721476675,CROWLEY,LA
GREATER MIAMI OPERA INC,596001597,MIAMI,FL
GREATER WORCESTER OPERA INC,208305412,RUTLAND,MA
GREAT STAR THEATER,320474467,SAN FRANCISCO,CA
GREEN MOUNTAIN OPERA FESTIVAL,NO EIN,WAITSFIELD,VT
GREENSBORO OPERA COMPANY,581379465,GREENSBORO,NC
GREENVILLE LIGHT OPERA WORKS (GLOW),271795936,GREENVILLE,SC
GUERILLA OPERA INC,262068879,BOSTON,MA
GUILD FOR THE WASHINGTON CONCERT OPERA,541759573,FALLS CHURCH,VA
GUILDS OF THE SANTA FE OPERA INC,856012246,SANTA FE,NM
GULFSHORE OPERA,470989874,NAPLES,FL
HARBOR COUNTRY OPERA,461509400,ROLLING PRAIRIE,IN
HARLEM OPERA THEATER INC,134187863,NEW YORK,NY
HARMONIA OPERA COMPANY INC,133064113,NEW YORK,NY
HARRINGTON OPERA HOUSE SOCIETY,943160783,HARRINGTON,WA
HARRISBURG OPERA ASSOCIATION,NO EIN,HARRISBURG,PA
HARTFORD OPERA THEATER INC,273287114,BROAD BROOK,CT
HATTIESBURG CIVIC LIGHT OPERA INC,640718647,HATTIESBURG,MS
HAWAII OPERA THEATRE,990197758,HONOLULU,HI
HAWAII YOUTH OPERA CHORUS,990142646,HONOLULU,HI
HAYMARKET OPERA COMPANY NFP,274348359,CHICAGO,IL
HEARTBEAT OPERA LTD,474122815,NEW YORK,NY
HEARTLAND OPERA THEATRE,431844714,JOPLIN,MO
HELIOS EARLY OPERA D.B.A. FRACTURED ATLAS,113451703,CAMBRIDGE,MA
HIGH DESERT OPERA,203803066,PALISADE,CO
HILLHOUSE OPERA COMPANY,263218851,EETHEL,CT
HISPANIC-AMERICAN LYRIC THEATRE INC,592768848,MIAMI,FL
HISTORIC HOMESTAKE OPERA HOUSE,411901385,LEAD,SD
HOME FOR CONTEMPORARY THEATRE AND ART LTD (HERE ART CENTER),133449416,NEW YORK,NY
HOPE OPERAS THEATERS CORPORATION,472238108,ASHBURN,VA
HOUSTON EBONY MUSIC SOCIETY INC,760363911,HOUSTON,TX
"HOUSTON GRAND OPERA ASSOCIATION, INC.",746016764,HOUSTON,TX
HOUSTON GRAND OPERA ENDOWMENT INC,760038314,HOUSTON,TX
HOUSTON GRAND OPERA GUILD INC,740016764,HOUSTON,TX
HUB OPERA ENSEMBLE LIMITED,452233382,HAGERSTOWN,MD
HUBBARD HALL PROJECTS INC,222188736,CAMBRIDGE,NY
HUBER OPERA HOUSE AND CIVIC CENTER INC,341874951,HICKSVILLE,OH
HUDSON LYRIC OPERA,263346265,GARNERVILLE,NY
"HUDSON OPERA HOUSE, INC.",14752524,HUDSON,NY
HUDSON OPERA THEATRE,462588285,MIDDLETOWN,NY
HUMBOLDT LIGHT OPERA COMPANY,942549968,ARCATA,CA
HWA SHIN CHINESE SCHOOL,943178437,MOUNTAIN VIEW,CA
IDAHO FALLS OPERA THEATRE INC,820342398,IDAHO FALLS,ID
IL PICCOLO TEATRO DELL OPERA INC,112713957,BROOKLYN,NY
INDEPENDENT OPERA COMPANY,461846033,NORTH HOLLYWOOD,CA
"INDIANA UNIVERSITY OPERA AND BALLET THEATER, JACOBS SCHOOL OF MUSIC",,BLOOMINGTON,IN
INDIANAPOLIS OPERA,351405179,INDIANAPOLIS,IN
INDUSTRY PRODUCTIONS INC,453307896,LOS ANGELES,CA
INSPIRATION POINT FINE ARTS COLONY INC,710327137,EUREKA SPRINGS,AR
INTERMOUNTAIN OPERA ASSOCIATION OF BOZEMAN,810382552,BOZEMAN,MT
INTERNATIONAL BRAZILIAN OPERA COMPANY,471743724,NEW YORK,NY
INTERNATIONAL CONFERENCE OF SYMPHONY AND OPERA MUSICIANS INC,134147698,ATLANTA,GA
INTERNATIONAL FRIENDS OF THE VIENNA STATE OPERA INC,460551184,NEW YORK,NY
INTERNATIONAL VOCAL ARTS INSTITUTE INC,510297350,NEW YORK,NY
INTIMATE OPERA INC,364477750,CHICAGO,IL
ITALIAN AMERICAN OPERA FOUNDATION,264269498,PACIFIC PALISADES,CA
JEFFERSON PERFORMING ARTS SOCIETY,720861706,METAIRIE,LA
JUNEAU LYRIC OPERA ASSOCIATION,920064417,JUNEAU,AK
KENTUCKY OPERA ASSOCIATION INC,616013111,LOUISVILLE,KY
KNOXVILLE OPERA COMPANY,621015262,KNOXVILLE,TN
LA GRAN SCENA OPERA COMPANY,,NEW YORK,NY
LAKE GEORGE OPERA FESTIVAL ASSOCIATION INC.,132505803,SARATOGA SPRINGS,NY
LAKE GEORGE OPERA FESTIVAL ASSOCIATION INC TRUST,367033135,CHICAGO,IL
LAMPLIGHTERS MUSIC THEATRE,946109095,SAN FRANCISCO,CA
LANCASTER NEW YORK OPERA HOUSE INC,222325828,LANCASTER,NY
LANCASTER OPERA COMPANY,236392136,LANCASTER,PA
LAND OF ENCHANTMENT OPERA INC,272621725,GALLUP,NM
LAS VEGAS PERFORMING ARTS CENTER FOUNDATION,880361875,LAS VEGAS,NV
LEBANON OPERA HOUSE IMPROVEMENT CORPORATION,20448277,RANDOLPH,VT
LIEDERKRANZ OF THE CITY OF NEW YORK,130971750,NEW YORK,NY
LIGHT OPERA COMPANY OF SOUTHERN MARYLAND D.B.A. SOUTHERN MARYLAND ARTS AND CULTURE,,,MD
LIGHT OPERA OF NEW YORK INC,205086861,NEW YORK,NY
LIGHT OPERA THEATRE OF SACRAMENTO,943001646,SACRAMENTO,CA
LIGHT OPERA WORKS INC,363125199,WILMETTE,IL
LITHUANIAN OPERA COMPANY,362935678,BURR RIDGE,IL
LITTLE OPERA THEATRE OF NEW YORK INC,461049598,NEW YORK,NY
LIVERMORE VALLEY OPERA,943168895,LIVERMORE,CA
LOFTOPERA INC,474745073,BROOKLYN,NY
LONE STAR LYRIC THEATER FESTIVAL,208771512,NEW YORK,NY
LONG BEACH OPERA,953387074,LONG BEACH,CA
LONGWOOD OPERA INC,43008633,NEEDHAM,MA
LORENZO MALFATTI ACCADEMIA VOCALE DI LUCCA INC,461761362,MEMPHIS,TN
LOS ANGELES METROPOLITAN OPERA,271948205,PACIFIC PLSDS,CA
LOS ANGELES OPERA COMPANY,952096402,LOS ANGELES,CA
LOVELAND OPERA THEATRE,260348842,LOVELAND,CO
LOWELL HOUSE OPERA,,CAMBRIDGE,MA
LYRIC LIGHT OPERA OF THE NORTHWEST,204425925,CAMANO ISLAND,WA
LYRIC OPERA FOUNDATION INC,270813566,BALTIMORE,MD
LYRIC OPERA OF CHICAGO,366008929,CHICAGO,IL
"LYRIC OPERA OF KANSAS CITY, INC.",440626124,KANSAS CITY,MO
LYRIC OPERA OF KANSAS CITY FOUNDATION,431888220,KANSAS CITY,MO
LYRIC OPERA OF THE NORTH INCORPORATED,201896591,DULUTH,MN
LYRIC OPERA QALICB INC,452480257,KANSAS CITY,MO
MADISON OPERA FOUNDATION INC,392021767,MADISON,WI
"MADISON OPERA, INC.",391789514,MADISON,WI
MADISON SAVOYARDS LTD,237401465,MADISON,WI
MAGIC CIRCLE OPERA REPRETORY ENSEMBLE INC,133096065,NEW YORK,NY
MAIN STREET OPERA,272177651,ARLINGTON HEIGHTS,IL
MANHATTAN OPERA STUDIO,,NEW YORK,NY
MANHATTAN SCHOOL OF MUSIC,131656667,NEW YORK,NY
MARBLE CITY OPERA COMPANY,464265972,KNOXVILLE,TN
MARIGNY OPERA HOUSE FOUNDATION,454231295,NEW ORLEANS,LA
MARTINA ARROYO FOUNDATION,134236056,NEW YORK,NY
MARTINEZ OPERA CONTRA COSTA,NO EIN,MARTINEZ,CA
MARYLAND LYRIC OPERA,463835176,HYATTSVILLE,MD
MCPHERSON OPERA HOUSE COMPANY,481061493,MCPHERSON,KS
MEMORIAL OPERA HOUSE FOUNDATION INC,351861719,VALPARAISO,IN
MEN OF HARMONY INC,232915285,LEVITTOWN,PA
MEROLA OPERA PROGRAM,946084831,SAN FRANCISCO,CA
MERCURY OPERA OF ROCHESTER INC,352240395,ROCHESTER,NY
METRO WEST OPERA INC,371649578,BRIGHTON,MA
METROPOLITAN OPERA ASSOCIATION INC,131624087,NEW YORK,NY
METROPOLITAN OPERA CLUB INC,131572247,NEW YORK,NY
METROPOLITAN OPERA GUILD INC,131681983,NEW YORK,NY
MIAMI LYRIC OPERA,571208572,DORAL,FL
MICHIGAN OPERA THEATRE,382052726,DETROIT,MI
MIDLAND OPERA THEATER,751943679,MIDLAND,TX
MID-OHIO OPERA,464259742,MANSFIELD,OH
MILL CITY SUMMER OPERA,364700566,MINNEAPOLIS,MN
MILLENNIAL ARTS PRODUCTIONS,NO EIN,NEW YORK,NY
MILWAUKEE OPERA THEATRE INC,392003992,ELM GROVE,WI
MINDEN OPERA HOUSE INC,470825124,MINDEN,NE
MINNESOTA CONCERT OPERA,453669692,MINNEAPOLIS,MN
MISSISSIPPI OPERA ASSOCIATION INC,237113188,JACKSON,MS
MOBILE OPERA INC,636045261,MOBILE,AL
MODUS OPERA COMPANY INC,421627336,SCARSDALE,NY
MOTOR CITY LYRIC OPERA,300055116,BLOOMFIELD HILLS,MI
MUDDY RIVER OPERA COMPANY,371257864,CANTON,MO
MUNICIPAL OPERA COMPANY OF ALLENTOWN INC,236390902,ALLENTOWN,PA
MUSIC ACADEMY OF THE WEST,951525814,SANTA BARBARA,CA
MUSIC OF THE BAROQUE CONCERT SERIES INC,362837499,CHICAGO,IL
MUSICAL TRADITIONS,521055739,SAN FRANCISCO,CA
NAPA VALLEY OPERA HOUSE INC,680051718,NAPA,CA
NASHVILLE OPERA ASSOCIATION,621119830,NASHVILLE,TN
NATCHEZ OPERA FESTIVAL INC,581948469,NATCHEZ,MS
NAUTILUS MUSIC THEATER,411721692,SAINT PAUL,MN
NEVADA OPERA ASSOCIATION,886009267,RENO,NV
NEW AMERICAN PHILHARMONIC SYMPHONY ORCHESTRA BALLET AND OPERA ASSOCIATION,870469002,OGDEN,UT
NEW CAMERATA OPERA,NO EIN,NEW YORK,NY
NEW CENTURY CHINESE OPERA CENTER INC,113513563,BROOKLYN,NY
NEW CENTURY OPERA INC,264074037,TARPON SPRINGS,FL
NEW ENGLAND LIGHT OPERA,43567974,LEXINGTON,MA
NEW JERSEY STATE OPERA,NO EIN,NEWARK,NJ
NEW MOON OPERA COMPANY,473415044,CHICAGO,IL
NEW ORLEANS OPERA ASSOCIATION,720272897,NEW ORLEANS,LA
NEW ORLEANS THEATRE ASSOCIATION INC,721016132,NEW ORLEANS,LA
NEW ROCHELLE OPERA INC,133355065,NEW ROCHELLE,NY
NEW YORK CHINESE OPERA SOCIETY INC,861171749,NEW YORK,NY
NEW YORK CITY OPERA INC,132974347,NEW YORK,NY
"NEW YORK GILBERT AND SULLIVAN PLAYERS, INC.",132862043,NEW YORK,NY
NEW YORK HANG TANG CULTURE AND ARTCENTER INC,204223569,NEW YORK,NY
NEW YORK LYRIC OPERA THEATRE INC,272910455,NEW YORK,NY
NEW YORK OPERA EXCHANGE INC,454861394,NEW YORK,NY
NEW YORK OPERA FORUM,,NEW YORK,NY
NEW YORK OPERA SOCIETY INC,800471095,NEW YORK,NY
NEWBERRY OPERA HOUSE FOUNDATION INC,570964360,NEWBERRY,SC
NICKEL CITY OPERA INC,200483601,CHEEKTOWAGA,NY
NORTH AMERICAN NEW OPERA WORKSHOP,,CINCINNATI,OH
NORTH BAY OPERA,,FAIRFIELD,CA
NORTH CAROLINA OPERA INC,311486222,RALEIGH,NC
NORTH IDAHO FRIENDS OF THE OPERA AND THE ARTS INC,820464809,COEUR D ALENE,ID
NORTH SHORE OPERA HOUR INC,275124838,SKOKIE,IL
NORTHERN LIGHT OPERA COMPANY INCORPORATED,450464803,PARK RAPIDS,MN
NORTHERN LIGHTS MUSIC FESTIVAL,562527875,GILBERT,MN
NORTHWEST OPERA,471255941,SPOKANE,WA
"NORTHWEST OPERA IN SCHOOLS, ETCETERA",911249425,SEATTLE,WA
NOVA CENTER FOR THE PERFORMING ARTS INC,810514788,BILLINGS,MT
NYCO RENAISSANCE LTD,465145029,NEW YORK,NY
ODYSSEY OPERA OF BOSTON INC,462717193,MALDEN,MA
OHIO LIGHT OPERA D.B.A. COLLEGE OF WOOSTER,340714654,WOOSTER,OH
OLD OPERA HOUSE THEATRE COMPANY INC,237321992,CHARLES TOWN,WV
ON SITE OPERA INC,463203280,NEW YORK,NY
OPAS ENCORE INC,452772653,BRYAN,TX
OPERALEX,611170162,LEXINGTON,KY
"OPERAWORKS, INC",592884120,NORTHRIDGE,CA
OPERA A LA CARTE ASSOCIATION,953458594,PASADENA,CA
OPERA ACADEMY OF CALIFORNIA,550895590,SAN FRANCISCO,CA
OPERA AMERICA INC,203520577,NEW YORK,NY
OPERA ARTS INC,300540629,PALM SPRINGS,CA
OPERA ASSOCIATION OF CENTRAL OHIO,311020676,COLUMBUS,OH
OPERA AT FLORHAM INC,223321489,CONVENT STATION,NJ
OPERA BEND,462541609,BEND,OR
OPERA BIRMINGHAM,237207572,BIRMINGHAM,AL
OPERA BOSTON INC,42756974,DOVER,MA
OPERA BRAVURA ENTERTAINMENT INC,275035675,SANTA CLARA,CA
"OPERA BREVE INC D.B.A. FRACTURED ATLAS, INC.",113451703,NEW YORK,NY
OPERA BUFFS,953854105,LOS ANGELES,CA
OPERA CAMERATA OF WASHINGTON DC INC,521869819,WASHINGTON,DC
OPERA CAROLINA,566019660,CHARLOTTE,NC
OPERA CAROLINA ENDOWMENT,202533756,CHARLOTTE,NC
OPERA CIRCLE INC,341816013,CLEVELAND,OH
OPERA COLORADO,840850827,DENVER,CO
OPERA COLORADO FOUNDATION,841287161,DENVER,CO
OPERA COLUMBUS,,COLUMBUS,OH
OPERA COMERATA OF WASHINGTON DC INC,521869819,WASHINGTON,DC
OPERA COMPANY OF BROOKLYN ASSOCIATION,134126544,NEW YORK,NY
OPERA COMPANY OF MIDDLEBURY INC,201993530,MIDDLEBURY,VT
OPERA CONNECTICUT D.B.A. CONNECTICUT CONCERT OPERA,61327606,W. HARTFORD,CT
OPERA CULTURA,464332937,OAKLAND,CA
"OPERA DE LAFAYETTE, INC. D.B.A. TIPPECANOE ARTS FEDERATION INC",310942566,LAFAYETTE,IN
OPERA DE PUERTO RICO,NO EIN,SAN JUAN,PR
OPERA DEL WEST INC,204040660,WAYLAND,MA
OPERA DELEWARE INC,516018055,WILMINGTON,DE
OPERA EAST TEXAS,752429448,LONGVIEW,TX
OPERA EBONY INC,510238088,NEW YORK,NY
OPERA FAIRBANKS,203975320,FAIRBANKS,AK
OPERA FAYETTEVILLE,,FAYETTEVILLE,AR
"OPERA FOR THE YOUNG, INC.",391583686,MADISON,WI
OPERA FORT COLLINS INC,841183179,FORT COLLINS,CO
OPERA FUSION INC,471432459,WEST PALM BEACH,FL
OPERA GRAND RAPIDS,386142941,GRAND RAPIDS,MI
OPERA GUILD IN THE DESERT,956220739,PALM SPRINGS,CA
OPERA GUILD INC,590906317,MIAMI,FL
OPERA GUILD OF DAYTON,311021023,DAYTON,OH
OPERA GUILD OF SAN ANTONIO,742304402,SAN ANTONIO,TX
OPERA GUILD OF THE DESERT,956220739,PALM SPRINGS,CA
OPERA HISPANICA INC,271588801,NEW YORK,NY
OPERA HOUSE ARTS,10526734,STONINGTON,ME
OPERA HOUSE ARTS COUNCIL,471335789,EL DORADO SPRINGS,MO
OPERA HOUSE INC,310996184,MCCONNELSVILLE,OH
OPERA HOUSE LIVE,,SHEPHERDSTOWN,WV
OPERA HOUSE THEATRE COMPANY INC,561490512,WILMINGTON,NC
"OPERA IDAHO, INC.",237331238,BOISE,ID
OPERA IN THE HEIGHTS,760499709,HOUSTON,TX
OPERA IN THE ROCK,455524555,CONWAY,AR
OPERA IN WILLIAMSBURG INC,475511655,WILLIAMSBURG,VA
OPERA INDEX INC,133098404,NEW YORK,NY
OPERA INTERNATIONAL D.B.A. ORGANIZATION OF CHINESE AMERICAN WOMEN INC,541149323,NORTH BETHESDA,MD
OPERA JACKSONVILLE,432032363,JACKSONVILLE,FL
OPERA LAFAYETTE,522001426,WASHINGTON,DC
OPERA LAS VEGAS,880439165,LAS VEGAS,NV
OPERA LOUISIANE INC,208572361,BATON ROUGE,LA
OPERA MATIC NFP,244199193,CHICAGO,IL
OPERA MEMPHIS ENDOWMENT FOUNDATION,581713898,MEMPHIS,TN
"OPERA MEMPHIS, INC",620785544,MEMPHIS,TN
OPERA MUSIC THEATER INTERNATIONAL,NO EIN,WASHINGTON,DC
