"","EIN","NAME.x","NAME.y","ICO","STREET","CITY","STATE","ZIP","GROUP","SUBSECTION","AFFILIATION","CLASSIFICATION","RULING","DEDUCTIBILITY","FOUNDATION","ACTIVITY","ORGANIZATION","STATUS","TAX_PERIOD","ASSET_CD","INCOME_CD","FILING_REQ_CD","PF_FILING_REQ_CD","ACCT_PD","ASSET_AMT","INCOME_AMT","REVENUE_AMT","NTEE_CD","SORT_NAME"
"11","133081486","AMERICAN OPERA PROJECTS INC","AMERICAN OPERA PROJECTS INC","","138 SOUTH OXFORD STREET","BROOKLYN","NY","11217-1695",0,3,3,1000,0,1,16,90119000,1,1,201606,4,6,1,0,6,189402,1259795,1259795,"A6A0",""
"12","366057235","AMERICAN OPERA SOCIETY OF CHICAGO","AMERICAN OPERA SOCIETY OF CHICAGO - NATIONAL -","% HELEN NADINE PETERSON","121 WINDSOR LANE","WILLOWBROOK","IL","60527-2966",0,3,3,2000,0,1,16,119059040,1,1,201604,4,3,1,0,4,171720,54515,54515,"",""
"13","133840596","AMERICAN SINGERS OPERA PROJECT INC","AMERICAN SINGERS OPERA PROJECT INC","% JOHN V BAXLEY","4632 BOTTOMS ROCK LN","PFAFFTOWN","NC","27040-9555",0,3,3,2000,0,1,15,89000000,1,1,201512,1,3,2,0,12,9744,48061,43393,"A250",""
"14","112830057","AMIGOS DE LA ZARZUELA INC","AMIGOS DE LA ZARZUELA INC","","141 STRATTFORD RD","NEW HYDE PARK","NY","11040-3535",0,3,3,1000,0,1,16,90093000,1,1,201408,4,1,2,0,8,197832,5040,5040,"A6AZ",""
"15","270940187","AMORE OPERA INC","AMORE OPERA INC","% MORRIS & MCVEIGH LLP","PO BOX 231368","NEW YORK","NY","10023-0023",0,3,3,2000,0,1,15,0,1,1,201512,1,4,1,0,12,8844,113959,113177,"A6A",""
"16","510175124","ANCHORAGE OPERA COMPANY","ANCHORAGE OPERA COMPANY","","1507 SPAR AVE","ANCHORAGE","AK","99501-1812",0,3,3,3000,0,1,16,90000000,1,1,201506,4,6,1,0,6,393013,1979633,970830,"A6A0",""
"17","920175714","ANCHORAGE OPERA FOUNDATION","ANCHORAGE OPERA FOUNDATION","% DAVID CASE","1507 SPAR AVE","ANCHORAGE","AK","99501-1812",0,3,3,1000,0,1,17,0,1,1,201606,0,0,2,0,6,0,0,0,"B11",""
"18","920148120","ANCHORAGE OPERA GUILD","ANCHORAGE OPERA GUILD","","PO BOX 240481","ANCHORAGE","AK","99524-0481",0,3,3,1000,0,1,16,995090000,5,1,201406,0,0,2,0,6,0,0,0,"A110",""
"19","920166540","ANDIAMO","ANDIAMO","% SANDY FORTIER","PO BOX 20684","JUNEAU","AK","99802-0684",0,3,3,1200,0,1,16,0,1,1,201506,0,0,2,0,6,0,0,0,"A61",""
"20","237321514","ANNAPOLIS OPERA INCORPORATED","ANNAPOLIS OPERA INCORPORATED","% MICHAEL TEEMS","801 CHASE STREET 304","ANNAPOLIS","MD","21401-3530",0,3,3,1200,0,1,15,119059000,1,1,201606,4,4,1,0,6,171705,369242,369242,"A6A0",""
"21","364314792","ARBOR OPERA THEATER","ARBOR OPERA THEATER","","PO BOX 8055","ANN ARBOR","MI","48107-8055",0,3,3,1000,0,1,15,0,1,1,201606,1,3,2,0,6,6505,40869,40869,"A6A",""
"22","204937547","ARDEA ARTS INC / FAMILY OPERA INITIATIVE","ARDEA ARTS INC","% CHIDI OZIEH COZIEHARDEAARTSCOM","463 BROOME ST","NEW YORK","NY","10013-2654",0,3,3,2000,0,1,15,0,1,1,201506,4,4,1,0,6,107851,209871,209871,"A6A",""
"23","237169261","ARIZONA OPERA COMPANY","ARIZONA OPERA COMPANY","","1636 N CENTRAL AVE","PHOENIX","AZ","85004-1623",0,3,3,2000,0,1,16,90000000,1,1,201506,7,7,1,0,6,5005118,8697592,8398565,"A6A0",""
"24","201327526","ART OF CANTONESE OPERA ASSOCIATION INC","ART OF CANTONESE OPERA ASSOCIATION INC","% JAMES TSANG","185 CANAL STREET 7/FL","NEW YORK","NY","10013-4537",0,3,3,2000,0,1,16,0,1,1,201606,2,1,2,0,6,10481,217,217,"A6A",""
"25","30500788","ASH LAWN OPERA","ASH LAWN OPERA","","226 E HIGH ST","CHARLOTTESVLE","VA","22902-5177",0,3,3,1000,0,1,15,0,1,1,201512,4,5,1,0,12,159780,715433,685117,"A11","ASH LAWN OPERA FESTIVAL"
"26","562167677","ASHEVILLE LYRIC OPERA","ASHEVILLE LYRIC OPERA","% DAVID C STARKEY","PO BOX 3316","ASHEVILLE","NC","28802-3316",0,3,3,1000,0,1,15,0,1,1,201512,3,4,1,0,12,37763,186710,186560,"A6A",""
"27","742390496","AUSTIN LYRIC OPERA","AUSTIN LYRIC OPERA","","3009 INDUSTRIAL TER STE 100","AUSTIN","TX","78758-7601",0,3,3,2000,0,1,15,88119000,1,1,201506,6,6,1,0,6,4443881,4574736,3750986,"A6A0",""
"28","742744864","AUSTIN LYRIC OPERA ENDOWMENT FUND","AUSTIN LYRIC OPERA ENDOWMENT FUND","% EVA KUHLMAN","3009 INDUSTRIAL TER STE 100","AUSTIN","TX","78758-7601",0,3,3,1000,0,1,17,922090000,1,1,201506,6,6,1,0,6,2927338,2085458,158911,"T50I",""
"29","264201545","BALTIMORE CONCERT OPERA, INC","BALTIMORE CONCERT OPERA INC","","11 W MOUNT VERNON PL","BALTIMORE","MD","21201-5103",0,3,3,1000,0,1,15,0,1,1,201608,4,4,1,0,8,109762,222077,222077,"A6A",""
"30","813311094","BARE OPERA","BARE OPERA","% ESTHER MINHYUNG LEW","963 KENT AVE APT 1","BROOKLYN","NY","11205-4467",0,3,3,1200,0,1,15,0,1,1,NA,0,0,2,0,12,NA,NA,NA,"A6A",""
"31","30270440","BARRE OPERA HOUSE INC","BARRE OPERA HOUSE INC","","PO BOX 583","BARRE","VT","05641-0583",0,3,3,1000,0,1,16,88090062,1,1,201606,5,4,1,0,6,613425,476366,472261,"A610",""
"32","311414324","BAUM OPERA HOUSE ASSOCIATION","BAUM OPERA HOUSE ASSOCIATION","% WILLIAM D FORBES","15 S 1ST ST","MIAMISBURG","OH","45342-2815",0,3,3,1000,0,1,15,995119000,1,1,201512,4,3,1,0,12,498298,70599,54138,"Z99",""
"33","943136172","BAYVIEW OPERA HOUSE, INC.","BAYVIEW OPERA HOUSE INC","% SHELLEY J BELL","4702 3RD ST","SAN FRANCISCO","CA","94124-2307",0,3,3,1000,0,1,15,320000000,1,1,201506,4,5,1,0,6,405506,604939,604939,"A600",""
"34","943162696","BAY AREA SUMMER OPERA THEATER INSTITUTE","BAY AREA SUMMER OPERA THEATER INSTITUTE","% YEFIM MAIZEL","123 NANTUCKET CV","SAN RAFAEL","CA","94901-4462",0,3,3,1000,0,1,16,149000000,1,1,201512,1,1,2,0,12,990,139,139,"A99Z",""
"35","942737425","BAY SHORE LYRIC OPERA COMPANY","BAY SHORE LYRIC OPERA COMPANY","","21851 VIA REGINA","SARATOGA","CA","95070-4861",0,3,3,1000,0,1,16,88000000,1,1,201306,1,1,0,0,6,1961,6752,6752,"A6A0",""
"36","710966118","BEL CANTANTI OPERA COMPANY","BEL CANTANTI OPERA COMPANY","% TOM O GRADY EXEC VICE PRES & GENE","PO BOX 3232","SILVER SPRING","MD","20918-3232",0,3,3,1000,0,1,16,0,1,1,201512,3,3,1,0,12,55779,95883,95883,"A6A",""
"37","371720207","BEL CANTANTI OPERA OF MARYLAND","BEL CANTANTI OPERA OF MARYLAND","","PO BOX 3232","SILVER SPRING","MD","20918-3232",0,3,3,2000,0,1,15,0,1,1,201512,1,1,2,0,12,550,550,550,"A6A",""
"38","263688025","BERKS OPERA WORKSHOP","BERKS OPERA WORKSHOP","% TAMARA BLACK","PO BOX 251","READING","PA","19603-0251",0,3,3,1000,0,1,15,0,1,1,201609,2,3,1,0,9,22156,58579,57681,"A6A",""
"39","471596750","BERKSHIRE OPERA FESTIVAL","BERKSHIRE OPERA FESTIVAL","% C/O DAVID W ADAMS","601 W 160TH ST APT 4A","NEW YORK","NY","10032-0541",0,3,3,1200,0,1,15,0,1,1,201609,3,0,2,0,9,32607,0,0,"A6A",""
"40","208422447","BETH MORRISON PROJECTS","BETH MORRISON PROJECTS","% BETH MORRISON","D1","BROOKLYN","NY","11226-0000",0,3,3,1000,0,1,15,0,1,1,201506,4,6,1,0,6,468250,1066272,1066272,"A65",""
"41","263016871","BLUEGRASS OPERA","BLUEGRASS OPERA","% LORNE DECHTENBERG","PO BOX 910527","LEXINGTON","KY","40591-0527",0,3,3,1000,0,1,15,0,1,1,201512,0,0,2,0,12,0,0,0,"A6A",""
"42","222613294","BOHEME OPERA COMPANY INC","BOHEME OPERA COMPANY INC","","PO BOX 4157","TRENTON","NJ","08610-0157",0,3,3,2000,0,1,15,64119088,1,1,201506,1,4,1,0,6,8393,154914,127978,"A6A0",""
"43","42704827","BOSTON EARLY MUSIC FESTIVAL, INC.","BOSTON EARLY MUSIC FESTIVAL INC","","43 THORNDIKE ST STE 302","CAMBRIDGE","MA","02141-1762",0,3,3,1000,0,1,15,90123914,5,1,201506,5,6,1,0,6,687274,3365432,3365432,"A680",""
"44","42469627","BOSTON LYRIC OPERA COMPANY","BOSTON LYRIC OPERA COMPANY","","11 AVENUE DE LAFAYETTE","BOSTON","MA","02111-1883",0,3,3,1200,0,1,16,119000000,1,1,201606,8,7,1,0,6,19453243,8779451,6310879,"A6A0",""
"45","203943823","BOSTON MIDSUMMER OPERA INC","BOSTON MIDSUMMER OPERA INC","% ERNEST KLEIN","PO BOX 301","BOSTON","MA","02114-0001",0,3,3,1000,0,1,15,0,1,1,201512,1,4,1,0,12,4914,130250,130250,"A6A",""
"46","204377736","BOSTON OPERA COLLABORATIVE","BOSTON OPERA COLLABORATIVE","","PO BOX 2303048","BOSTON","MA","02123-0000",0,3,3,2000,0,1,15,0,1,1,201408,3,3,2,0,8,34486,38655,38655,"A6A",""
"47","462223000","BOULDER OPERA COMPANY","BOULDER OPERA","% DIANELA ACOSTA","2015 GRAPE AVE","BOULDER","CO","80304-2337",0,3,3,1000,0,1,15,0,1,1,201606,0,0,2,0,6,0,0,0,"A6A",""
"48","473126062","BRAVA! OPERA THEATER","BRAVA OPERA THEATER","% LORRIE HALL","2924 SISKIYOU BLVD STE 204","MEDFORD","OR","97504-8197",0,3,3,1200,0,1,15,0,1,1,201606,1,3,1,0,6,7743,90251,87189,"A6A",""
"49","560729350","BREVARD MUSIC CENTER INCORPORATED","BREVARD MUSIC CENTER INCORPORATED","","PO BOX 312","BREVARD","NC","28712-0312",0,3,3,2000,0,1,11,46119325,1,1,201512,8,8,1,0,12,35234747,11195338,10536732,"",""
"50","237170675","BRONX OPERA COMPANY INC","BRONX OPERA COMPANY INC","","5 MINERVA PLACE","BRONX","NY","10468-1647",0,3,3,2000,0,1,15,119000000,1,1,201507,3,4,1,0,7,72640,198696,198696,"A6A0",""
"51","112201344","BROOKLYN ACADEMY OF MUSIC INC","BROOKLYN ACADEMY OF MUSIC INC","% CYNTHIA SMITH","30 LAFAYETTE AVE","BROOKLYN","NY","11217-1430",0,3,3,1000,0,1,15,90000000,1,1,201506,9,9,1,0,6,137978041,61752439,58799450,"",""
"52","237368877","BROWN GRAND OPERA HOUSE INC","BROWN GRAND OPERA HOUSE INC","% LUANN MILLER","PO BOX 347","CONCORDIA","KS","66901-0347",0,3,3,1200,0,1,15,62088090,1,1,201312,4,4,1,0,12,132657,295714,295693,"A6A0",""
"53","510191426","CANADIAN OPERA COMPANY INC","CANADIAN OPERA COMPANY INC","% PAUL BATTAGLIA ESQ","200 DELAWARE AVENUE","BUFFALO","NY","14202-2150",0,3,3,2000,0,1,16,90093995,1,1,201512,3,3,1,0,12,58207,57970,57970,"",""
"54","462283415","CANDID CONCERT OPERA INCORPORATED","CANDID CONCERT OPERA INCORPORATED","% CODRUT BIRSAN","2612 LOMBARD AVE","BERWYN","IL","60402-2707",0,3,3,2000,0,1,15,0,1,1,201507,2,3,1,0,7,13377,96900,96900,"A99",""
"55","810571607","CANTON COMIC OPERA COMPANY INC","CANTON COMIC OPERA COMPANY INC","","437 MARKET AVE N","CANTON","OH","44702-1543",0,3,3,1000,0,1,15,0,1,1,201512,0,0,2,0,12,0,0,0,"A6A",""
"56","463107063","CAPITOL OPERA COMPANIES INC","CAPITOL OPERA COMPANIES INC","% KATHLEEN TORCHIA TRAVERS","24582 DEL PRADO APT 207","DANA POINT","CA","92629-3815",0,3,3,2000,0,1,16,0,1,1,201607,0,0,2,0,7,0,0,0,"A6A",""
"57","462048743","CASTLETON FESTIVAL","CASTLETON FESTIVAL","% JACK PORTER","PO BOX 576","GREAT FALLS","VA","22066-0576",0,3,3,1200,0,1,15,0,1,1,201512,6,6,1,0,12,1126546,2086419,1921138,"A68",""
"58","421476568","CEDAR RAPIDS OPERA THEATRE","CEDAR RAPIDS OPERA THEATRE","% DANIEL KLEINKNECHT","425 2ND ST SE STE 960","CEDAR RAPIDS","IA","52401-1848",0,3,3,1000,0,1,16,995090000,1,1,201508,3,4,1,0,8,28642,408634,355647,"A6A0",""
"59","311408989","CEDARVILLE OPERA HOUSE SOCIETY INC","CEDARVILLE OPERA HOUSE SOCIETY INC","% KENNETH H ST CLAIR","PO BOX 685","CEDARVILLE","OH","45314-0685",0,3,3,1000,0,1,15,994062000,1,1,201512,4,3,2,0,12,112083,30338,29918,"A6A",""
"60","954868027","CELESTIAL OPERA COMPANY","CELESTIAL OPERA COMPANY","% COLIN J GIBSON","1716 1/2 BANK ST","S PASADENA","CA","91030-6287",0,3,3,1000,0,1,15,0,1,1,201512,1,2,2,0,12,2192,15272,24450,"A60",""
"61","112625093","CENTER FOR CONTEMPORARY OPERA","CENTER FOR CONTEMPORARY OPERA","","236 E 31ST ST","NEW YORK","NY","10016-6303",0,3,3,2000,0,1,15,90000000,1,1,201506,1,4,1,0,6,1784,120512,120512,"A6A0",""
"62","461963085","CENTER STAGE OPERA","CENTER STAGE OPERA","","PO BOX 371091","RESEDA","CA","91337-1091",0,3,3,2000,0,1,16,0,1,1,201512,1,4,1,0,12,1482,107199,103463,"A6A",""
"63","846002285","CENTRAL CITY OPERA HOUSE ASSOCIATION","CENTRAL CITY OPERA HOUSE ASSOCIATION","","400 S COLORADO BLVD STE 530","GLENDALE","CO","80246-1255",0,3,3,1200,0,1,16,119059000,5,1,201512,6,7,1,0,12,2734666,5039247,4564134,"A82Z",""
"64","841201337","CENTRAL CITY OPERA HOUSE ASSOCIATION ENDOWMENT FUND","CENTRAL CITY OPERA HOUSE ASSOCIATION ENDOWMENT FUND","% NANCY S PARKER","400 S COLORADO BLVD STE 530","DENVER","CO","80246-1255",0,3,3,2000,0,1,17,602922000,1,1,201512,7,4,1,0,12,9397666,251399,251399,"A6AZ",""
"65","363247003","CHAMBER OPERA OF CHICAGO","CHAMBER OPERA OF CHICAGO","","1111 W 35TH ST","CHICAGO","IL","60609-1404",0,3,3,1000,0,1,4,90119995,1,1,201506,4,5,0,1,6,302618,857307,NA,"",""
"66","550346301","CHARLESTON LIGHT OPERA GUILD INC","CHARLESTON LIGHT OPERA GUILD INC","","PO BOX 1762","CHARLESTON","WV","25326-1762",0,3,3,1200,0,1,16,89000000,1,1,201512,4,4,1,0,12,422873,425794,425794,"A6A0",""
"67","626002098","CHATTANOOGA SYMPHONY AND OPERA ASSOCIATION","CHATTANOOGA SYMPHONY AND OPERA ASSOCIATION","","701 BROAD STREET","CHATTANOOGA","TN","37402-1811",0,3,3,1200,0,1,16,119000000,1,1,201605,6,6,1,0,5,2767881,2647217,2588050,"A690",""
"68","160758844","CHAUTAUQUA INSTITUTION","CHAUTAUQUA INSTITUTION","","PO BOX 28","CHAUTAUQUA","NY","14722-0028",0,3,3,1270,0,1,16,119918059,1,1,201512,9,9,1,0,12,114102245,62320202,60867704,"A610",""
"69","201965815","CHELSEA OPERA INC","CHELSEA OPERA INC","","PO BOX 277","NEW YORK","NY","10113-0277",0,3,3,2000,0,1,15,0,1,1,201507,3,4,1,0,7,29978,104344,104344,"A6A",""
"70","237354963","CHICAGO OPERA THEATER","CHICAGO OPERA THEATER","","70 E LAKE ST STE 415","CHICAGO","IL","60601-7646",0,3,3,1200,0,1,16,88090000,1,1,201508,6,6,1,0,8,2342990,4088775,4017623,"A6A0",""
"71","731008734","CIMARRON CIRCUIT OPERA COMPANY","CIMARRON CIRCUIT OPERA COMPANY","","PO BOX 1085","NORMAN","OK","73070-1085",0,3,3,0,0,1,16,0,5,1,201406,4,4,1,0,6,122683,160041,160041,"A6A0",""
"72","463540951","CINCINNATI CHAMBER OPERA INC","CINCINNATI CHAMBER OPERA INC","","726 NW 25TH ST","OKLAHOMA CITY","OK","73103-1426",0,3,3,1000,0,1,15,0,1,1,201512,0,0,2,0,12,0,0,0,"A6A",""
"73","310549044","CINCINNATI OPERA ASSOCIATION","CINCINNATI OPERA ASSOCIATION","","30 GARFIELD PL STE 800","CINCINNATI","OH","45202-4312",0,3,3,2000,0,1,15,119059000,1,1,201508,8,8,1,0,8,33306996,17774943,11818254,"A6A0",""
"74","237386031","CINNABAR ARTS CORPORATION","CINNABAR ARTS CORPORATION","% MADELEINE ASHE","3333 PETALUMA BLVD N","PETALUMA","CA","94952-1267",0,3,3,1000,0,1,16,90000000,1,1,201506,4,5,1,0,6,246086,892235,884146,"A650",""
"75","382237064","CITY OPERA HOUSE HERITAGE ASSOCIATION INC","CITY OPERA HOUSE HERITAGE ASSOCIATION INC","","106 E FRONT ST","TRAVERSE CITY","MI","49684-2509",0,3,3,1000,0,1,15,994062000,1,1,201512,7,6,1,0,12,7131741,1004042,1004042,"A800",""
"76","50616054","CITYWIDE YOUTH OPERA INC","CITYWIDE YOUTH OPERA INC","% ANDREW ANDRADE","321 E 43RD ST APT 906","NEW YORK","NY","10017-4805",0,3,3,2000,0,1,15,0,1,1,201606,1,3,2,0,6,28,27843,27843,"A6A",""
"77","911030929","CIVIC LIGHT OPERA ASSOCIATION","CIVIC LIGHT OPERA ASSOCIATION","","7400 SAND POINT WAY NE STE 101N","SEATTLE","WA","98115-8170",0,3,3,3000,0,1,16,90995000,1,1,201606,3,4,1,0,6,50710,283583,279665,"A6A0","SEATTLE MUSICAL THEATRE"
"78","237240169","CLAREMONT OPERA HOUSE INC","CLAREMONT OPERA HOUSE INC","% CLAREMONT SAVINGS BANK","PO BOX 664","CLAREMONT","NH","03743-0664",0,3,3,2000,0,1,15,119400000,1,1,201606,4,4,1,0,6,377706,112702,111548,"A6A0",""
"79","208208151","CLEVELAND OPERA THEATER","CLEVELAND OPERA THEATER","% ANDREA SCHULZ","5000 EUCLID AVE STE 1001","CLEAVELAND","OH","44103-3749",0,3,3,1000,0,1,15,0,5,1,201412,0,0,2,0,12,0,0,0,"A6A",""
"80","850438831","CLOUDCROFT LIGHT OPERA COMPANY INC","CLOUDCROFT LIGHT OPERA COMPANY INC CLOC","% TERRA PONDER","PO BOX 1166","CLOUDCROFT","NM","88317-1166",0,3,3,2000,0,1,16,994088000,1,1,201409,0,0,2,0,9,0,0,0,"A65","CLOC"
"81","42505806","COLLEGE LIGHT OPERA COMPANY INC","COLLEGE LIGHT OPERA COMPANY INC","","PO BOX 906","FALMOUTH","MA","02541-0906",0,3,3,2000,0,1,16,88090000,1,1,201512,6,5,1,0,12,2066742,694885,694885,"A6A0",""
"82","462027591","COMMONWEALTH LYRIC THEATER INC","COMMONWEALTH LYRIC THEATER INC","","381 DUDLEY RD","NEWTON","MA","02459-2808",0,3,3,1000,0,1,15,0,1,1,201512,1,3,1,0,12,7896,53408,53408,"W99",""
"83","232929065","CONCERTOPERA, PHILADELPHIA INC","CONCERTOPERA PHILADELPHIA INC","% ANGELA ROACH","PO BOX 1006","DREXEL HILL","PA","19026-0706",0,3,3,2000,0,1,15,0,1,1,201605,0,0,2,0,5,0,0,0,"A6B",""
"84","510670021","CONCERT OPERETTA THEATER","CONCERT OPERETTA THEATER","% DANIEL MARC PANTANO","2129 W RITNER ST","PHILADELPHIA","PA","19145-3416",0,3,3,2000,0,1,16,0,1,1,201512,1,2,2,0,12,7328,14927,14927,"A6A",""
"85","141896196","CONNECTICUT LYRIC OPERA INC","CONNECTICUT LYRIC OPERA INC","% ROBIN WALLER PRES","PO BOX 21","NEW LONDON","CT","06320-0021",0,3,3,2000,0,1,15,0,1,1,201607,3,4,1,0,7,27523,102283,102283,"A69",""
"86","271640976","COTERIE THEATER CORPORATION","COTERIE THEATER CORPORATION","% LAUREN WORSHAM","26 FAYETTE ST APT 3R","BROOKLYN","NY","11206-4662",0,3,3,1200,0,1,15,0,1,1,201512,1,0,2,0,12,775,0,0,"A6A",""
"87","113451703","HELIOS EARLY OPERA D.B.A. FRACTURED ATLAS","FRACTURED ATLAS INC","","248 W 35TH ST FL 10","NEW YORK","NY","10001-2505",0,3,3,1000,0,1,15,995092090,1,1,201508,7,8,1,0,8,9165692,24603764,23387295,"A65",""
"88","113451703","PAULA KIMPER ENSEMBLE D.B.A. FRACTURED ATLAS, INC.","FRACTURED ATLAS INC","","248 W 35TH ST FL 10","NEW YORK","NY","10001-2505",0,3,3,1000,0,1,15,995092090,1,1,201508,7,8,1,0,8,9165692,24603764,23387295,"A65",""
"89","113451703","OPERAMISSION D.B.A. FRACTURED ATLAS, INC.","FRACTURED ATLAS INC","","248 W 35TH ST FL 10","NEW YORK","NY","10001-2505",0,3,3,1000,0,1,15,995092090,1,1,201508,7,8,1,0,8,9165692,24603764,23387295,"A65",""
"90","113451703","CREATE OPERA D.B.A. FRACTURED ATLAS, INC.","FRACTURED ATLAS INC","","248 W 35TH ST FL 10","NEW YORK","NY","10001-2505",0,3,3,1000,0,1,15,995092090,1,1,201508,7,8,1,0,8,9165692,24603764,23387295,"A65",""
"91","113451703","DC PUBLIC OPERA D.B.A. FRACTURED ATLAS, INC.","FRACTURED ATLAS INC","","248 W 35TH ST FL 10","NEW YORK","NY","10001-2505",0,3,3,1000,0,1,15,995092090,1,1,201508,7,8,1,0,8,9165692,24603764,23387295,"A65",""
"92","113451703","OPERA BREVE INC D.B.A. FRACTURED ATLAS, INC.","FRACTURED ATLAS INC","","248 W 35TH ST FL 10","NEW YORK","NY","10001-2505",0,3,3,1000,0,1,15,995092090,1,1,201508,7,8,1,0,8,9165692,24603764,23387295,"A65",""
"93","237170979","CREATIVE OPERA COMPANY LTD","CREATIVE OPERA COMPANY LTD","% FRANCES EBERMAN","101 W 85TH ST APT 3-4","NEW YORK","NY","10024-4452",0,3,3,1000,0,1,4,90000000,1,1,201512,1,1,0,1,12,1,2000,NA,"",""
"94","841374824","CRESTED BUTTE MUSIC FESTIVAL INC","CRESTED BUTTE MUSIC FESTIVAL INC","","PO BOX 2117","CRESTED BUTTE","CO","81224-2117",0,3,3,1000,0,1,15,90000000,1,1,201509,4,6,1,0,9,374882,1279468,1269287,"A99Z",""
"95","386144993","CROSWELL OPERA HOUSE AND FINE ARTS ASSOCIATION","CROSWELL OPERA HOUSE & FINE ARTS ASSOCIATION","","129 E MAUMEE ST","ADRIAN","MI","49221-2703",0,3,3,1200,0,1,16,119059000,1,1,201512,6,6,1,0,12,4762713,4349218,4315967,"A650",""
"96","756004746","DALLAS OPERA","DALLAS OPERA","","2403 FLORA ST 500","DALLAS","TX","75201-2415",0,3,3,1000,0,1,14,119059000,1,1,201506,8,8,1,0,6,16772214,15958668,15904918,"A6A0",""
"97","376033458","DANVILLE LIGHT OPER CO INC","DANVILLE LIGHT OPERA CO INC","","PO BOX 264","DANVILLE","IL","61834-0264",0,3,3,3000,0,1,15,119000000,1,1,201608,3,3,1,0,8,66330,69132,69132,"A650",""
"98","316622182","DAYTON OPERA ASSOCIATION CHARITABLE TRUST ","DAYTON OPERA ASSOCIATION IRRV CHARITABLE TR","% JP MORGAN CHASE BANK","10 S DEARBORN IL1-0117","CHICAGO","IL","60603-2300",0,3,3,1000,0,1,4,0,2,1,201512,6,5,0,1,12,1321992,698436,NA,"T11",""
"99","134140107","DELL'ARTE OPERA ENSEMBLE, INC.","DELL ARTE OPERA ENSEMBLE INC","% CHRISTOPHER FECTEAU","255 CABRINI BLVD APT 5H","NEW YORK","NY","10040-3614",0,3,3,1000,0,1,15,0,1,1,201606,1,4,1,0,6,5407,130073,130073,"A68",""
"100","463787023","DELPHI OPERA HOUSE","DELPHI OPERA HOUSE","% DELPHI OPERA HOUSE","PO BOX 72","DELPHI","IN","46923-0072",0,3,3,1000,0,1,16,0,1,1,201512,3,3,1,0,12,28948,72052,72052,"A6A",""
