NAME,EIN,CITY,STATE
OPERA IGNITE INC,202257757,CEDAR RAPIDS,IA
OPERA ILLINOIS LEAGUE,261789005,PEORIA,IL
OPERA IN CONCERT - MUSICA NELLE MARCHE,471547811,RICHARDSON,TX
OPERA IN WILLIAMSBURG INC,475511655,WILLIAMSBURG,VA
OPERA ITHACA INCORPORATED,813452061,BROOKTONDALE,NY
OPERA KANSAS INC,481020882,WICHITA,KS
OPERA LA SALLE,264680752,BERRIEN SPRINGS,MI
OPERA LIBERA,453361602,WILMINGTON,DE
OPERA-LYTES INC,475537607,AMHERST,NY
OPERA MAUI,471571156,KAHULUI,HI
OPERA MODERNE INC,460758350,ARKANSAS CITY,KS
OPERA MODO INC,474497039,DETROIT,MI
OPERA NEO,463142361,SAN DIEGO,CA
OPERA NIAGARA LTD,161582367,BUFFALO,NY
OPERA ON THE GO LTD,112902590,MARGATE,NJ
OPERA POMME ROUGE INC,474677871,JACKSON HEIGHTS,NY
OPERA PROJECT,800432320,FRENCHTOWN,NJ
OPERA PROJECT DSM,810789763,WINDSOR HEIGHTS,IA
OPERA QUAD CITIES,421521354,MOLINE,IL
OPERA SUSQUEHANNA INC,811027258,YORK,PA
OPERA THEATRE IN WESTON,30366317,WESTON,VT
OPERA USA,133819493,NEW YORK,NY
OPERA VIVENTE,522175213,ESSEX,MD
OPERATIC EXPERIENCE INC,450581539,FAIR LAWN,NJ
OPERATIVO HOUSTON,811673938,HOUSTON,TX
ORIENTAL OPERATIC ARTIST ASSOCIATION INC,208312911,FLUSHING,NY
OSWEGO OPERA THEATER INC,222234087,OSWEGO,NY
OZARK FAMILY OPERA COMPANY,474721384,BENTONVILLE,AR
PACIFIC LIGHT OPERA THEATRE,770037266,LOS OSOS,CA
PAINTED SKY OPERA INC,474955667,TUTTLE,OK
PHENIX OPERA COMPANY,320471175,SAN FRANCISCO,CA
PINELLAS OPERA LEAGUE INC,593746494,TRINITY,FL
PITTSFIELD OPERA THEATER,464229833,YPSILANTI,MI
PRAISE CENTER FOR THE ARTS INC,300216196,BRENTWOOD,TN
PRINCETON FRIENDS OF OPERA A NJ NONPROFIT CORPORATION,300260223,PRINCETON,NJ
PRINCETON OPERA ALLIANCE,465642922,PLAINSBORO,NJ
PUGET SOUND CONCERT OPERA,260701319,SEATTLE,WA
QUEENS OPERA ASSOCIATION INC,116042723,MANALAPAN,NJ
REDLANDS OPERA THEATRE,463486730,REDLANDS,CA
REGAL OPERA COMPANY,204618904,BEDFORD,TX
RESONANZ ALBANY SINGER INTENSIVE FESTIVAL,264338020,GLENMONT,NY
RHYMES WITH OPERA,454691402,BALTIMORE,MD
RIDGE LIGHT OPERA OF NEW JERSEY INC,651223761,BASKING RIDGE,NJ
RIDGECREST OPERA GUILD,320415149,RIDGECREST,CA
RIVERSIDE LYRIC OPERA,562339957,RIVERSIDE,CA
ROGUE VALLEY OPERA ASSOCIATION,930695819,JACKSONVILLE,OR
ROUNDABOUT OPERA FOR KIDS CINCINNATI INC,461263190,COVINGTON,KY
SAN ANTONIO CONCERT OPERA,812387811,SAN ANTONIO,TX
SAN DIEGO CITY OPERA COMPANY,471281768,SAN DIEGO,CA
SCENIC CITY OPERA,474326369,CHATTANOOGA,TN
SIGNS AND WONDERS,954725962,HAWTHORNE,CA
SIMSBURY LIGHT OPERA COMPANY INC,66056225,SIMSBURY,CT
SIN CITY OPERA,454571979,HENDERSON,NV
SOUNDS OF SOUTH DAKOTA INC,205799609,SIOUX FALLS,SD
SOUTH SHORE OPERA COMPANY OF CHICAGO NFP,263969962,CHICACO,IL
SOUTHERN OHIO LIGHT OPERA COMPANY,311402604,PORTSMOUTH,OH
SPOTLIGHT ON OPERA,475593869,AUSTIN,TX
STOUGHTON OPERA HOUSE FRIENDS ASSOCIATION,464257008,STROUGHTON,WI
SUBURAN OPERA THEATRE STATE REPERTORY OPERA SRO,222270100,SOUTH ORANGE,NJ
TAMPA BAY LIGHT OPERA COMPANY,811358185,TAMPA,FL
TEXAS OPERA COMPANY D.B.A. TEXAS LIGHT OPERA,454911472,SAN ANTONIO,TX
THE ELLEN FAULL GORDON NORTHWEST OPERA CENTER,931304008,LAKE FOREST PARK,WA
THE HINES LEE OPERA ENSEMBLE,521598949,WASHINGTON,DC
THE THORPE INC,470827199,DAVID CITY,NE
TIDEWATER OPERA INITIATIVE INC,463454471,CHESAPEAKE,VA
TRANSGRESSIVE THEATRE-OPERA,812064343,CHICAGO,IL
TROUPERS LIGHT OPERA COMPANY INC,66047512,DARIEN,CT
TWIN CITIES FRINGE OPERA,464759382,ST. PAUL,MN
TWIN CITY CHORISTERS,561500173,WINSTONSALEM,NC
UNDERCROFT OPERA INC,454776069,PITTSBURGH,PA
UPPER OHIO VALLEY OPERA GUILD,10834859,STEUBENVILLE,OH
UTAH FESTIVAL OPERA GUILD,364678356,LOGAN,UT
UTAH LYRIC OPERA SOCIETY,870556123,DRAPER,UT
UTOPIA OPERA LIMITED,811227880,WEST ISLIP,NY
VALLEJO PIECEMAKERS,800948041,VALLEJO,CA
VALMAC PRODUCTIONS INC,30520389,NEW YORK,NY
VENTURA COUNTY MASTER CHORALE AND OPERA ASSOCIATION INC,953760983,SOMIS,CA
VENTURE OPERA NFP,475231513,CHICAGO,IL
VERISMO OPERA COMPANY,455545106,FAIRFIELD,CA
VERMONT OPERA PROJECT,474217066,N. CLARENDON,VT
VERMONT OPERA THEATER,30297488,MONTPELIER,VT
VESPERTINE OPERA THEATER,454454928,SEATTLE,WA
VITAL OPERA INC,463086770,JACKSON HEIGHTS,NY
WAGNER SOCIETY OF CINCINNATI,464249325,CINCINNATI,OH
WAPELLO COUNTYS MCHAFFEY OPERA HOUSE,391890961,ELDON,IA
WASHINGTON CHU SHAN CHINESE OPERA INSTITUTE INC,521830370,SILVER SPRING,MD
WEST MICHIGAN OPERA PROJECT,475053972,HUDSONVILLE,MI
WESTERN PLAINS OPERA COMPANY INC,450341470,MINOT,ND
WONDERLUST,263017968,BOZEMAN,MT
YOUTH OPERA OF SOUTH JERSEY INC,161634500,OCEAN CITY,NJ
